mbti,song,singer
INTP,Hurts Me,"Tory Lanez, Trippie Redd"
INTP,3:15 (Breathe),Russ
INTP,Art Is Dead,Bo Burnham
INTP,Blood // Water,grandson
INTP,Out Of Reach,BoyWithUke
INTP,Knee Socks,Arctic Monkeys
INTP,Welcome to the Black Parade,My Chemical Romance
INTP,1985,Bo Burnham
INTP,You Know What They Do to Guys Like Us in Prison,My Chemical Romance
INTP,Little Dark Age,MGMT
INTP,Burning Pile,Mother Mother
INTP,Why'd You Only Call Me When You're High?,Arctic Monkeys
INTP,Look Who’s Inside Again,Bo Burnham
INTP,The Red Means I Love You,Madds Buckley
INTP,drift/(:(,Alek Olsen
INTP,homesick,wave to earth
INTP,(i would have followed you),Delaney Bailey
INTP,worldstar money (interlude),Joji
INTP,Mask Off,Future
INTP,Angels Sippen,Symba
INTP,Home,Edith Whiskers
INTP,Mädchen auf dem Pferd (feat. Fabian Buch),"Bibi und Tina, Peter Plate, Ulf Leo Sommer, Fabian Buch"
INTP,After Dark,Mr.Kitty
INTP,SPIT IN MY FACE!,ThxSoMch
INTP,Rhinestone Eyes,Gorillaz
INTP,Doubt,Twenty One Pilots
ISFP,right where you left me - bonus track,Taylor Swift
ISFP,LAST DANCE,BIGBANG
ISFP,Fake Tales Of San Francisco,Arctic Monkeys
ISFP,HWAA,(여자)아이들
ISFP,Feel Better,Penelope Scott
ISFP,Sparks,Coldplay
ISFP,I Can't Handle Change,Roar
ISFP,t r a n s p a r e n t s o u l feat. Travis Barker,"WILLOW, Travis Barker"
ISFP,Happy,MARINA
ISFP,I'm Good (Blue),"David Guetta, Bebe Rexha"
ISFP,Only Human,Jonas Brothers
ISFP,Cry Baby,The Neighbourhood
ISFP,Against the Kitchen Floor,Will Wood
ISFP,I Bet on Losing Dogs,Mitski
ISFP,The Masochism Tango,Tom Lehrer
ISFP,Vending Machine of Love,The Stupendium
ISFP,Teenage Dream,Stephen Dawes
ISFP,Pluto Projector,Rex Orange County
ISFP,Bertahta diatas tanah mereka - Japan Version,"Lukanegara, Fujita Haruka"
ISFP,7 Years,Lukas Graham
ISFP,SIMULATION,Gist
ISFP,Only U (Feat. 페노메코),"문수진, 지셀, 페노메코"
ISFP,Taser,재규어 중사
ISFP,vestigial organ,"김뮤지엄, JEMN"
ISFP,Blame It,"Jamie Foxx, T-Pain"
ISFP,Wires,The Neighbourhood
ISFP,True Colors,The Weeknd
ISFP,Die For You,The Weeknd
ISFP,Star,Colde
ISFP,Loving You Girl (feat. Hkeem),"Peder Elias, Hkeem"
ISFP,WA-R-R,Colde
ISFP,once in a moon,Sarah Kang
ISFP,Maybe,조유리
ISFP,Either Way,IVE
ISFP,LIT,STAYC
ISFP,Love Bubble,IZ*ONE
ISFP,꿈,정진우
ISFP,Star,Mitski
ISFP,Nothing's New,Rio Romeo
ISFP,Smarty,"Fidencio, michi"
ISFP,Acceptable in the 80's,Calvin Harris
ISFP,Do You Mind - Crazy Cousinz Remix,"Paleface, Crazy Cousins"
ISFP,Limp,Fiona Apple
ISFP,Antidote,Travis Scott
ISFP,Orange Flower (You Complete Me),ENHYPEN
ISFP,Love Lee,AKMU
ISFP,Whale,김세정
ISFP,I'm Gonna Love You,"디오, 원슈타인"
ISFP,God of Music,세븐틴
ISFP,元気を出して,Mariya Takeuchi
ISFP,Fighting (Feat. Lee Young Ji),"부석순, 이영지"
ISFP,All I Wanna Do (K) (Feat. Hoody & Loco),"박재범, Hoody, 로꼬"
ISFP,'68 Fastback,Zach Bryan
ISFP,Nose On The Grindstone (OurVinyl Sessions),"Tyler Childers, OurVinyl"
ISFP,Hell of a Year,Parker McCollum
ISFP,"Burn, Burn, Burn",Zach Bryan
ISFP,U,GRAY
ISFP,fairy,다운
ISFP,지나쳐 (FEAT. DEAN),"로꼬, DEAN"
ISFP,HIDE & SICK,JUNNY
ISFP,light,wave to earth
ISFP,i hope she loves me back,boy pablo
ISFP,Mr. Loverman,Ricky Montgomery
ISFP,papi bones (feat. shygirl),"FKA twigs, Shygirl"
ISFP,"Rêverie, L. 68","Claude Debussy, Alain Planès"
ISFP,Little Life,Cordelia
ISFP,Meadow,"Leavv, Philanthrope"
ISFP,Experience,"Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani"
ISFP,MIROH,Stray Kids
ISFP,Torch,D-ONE
ISFP,UP NO MORE,TWICE
ISFP,カプチーノ,Sheena Ringo
ISFP,僕は君の事が好きだけど君は僕を別に好きじゃないみたい,back number
ISFP,瞬き,back number
ISFP,あとひとつ,FUNKY MONKEY BABYS
ISFP,Tomorrow never knows,Mr.Children
ISFP,bad idea!,girl in red
ISFP,Lust for Life (with The Weeknd),"Lana Del Rey, The Weeknd"
ISFP,Francis Forever,Mitski
ISFP,Sofia,Clairo
ISFP,Anywhere But Home,슬기
ISFP,Paint on Spring,Martin Smith
ISFP,Ticket,MEENOI
ISFP,어떨것같애 (Feat. ZICO),"MEENOI, 지코"
ISFP,fue mejor (feat. SZA),"Kali Uchis, SZA"
ISFP,21,Gracie Abrams
ISFP,Summer (Feat. BE’O),"Paul Blanco, BE'O"
ISFP,Why Stop Now,Chase Atlantic
ISFP,Bang Bang Bang Bang,Sohodolls
ISFP,My Alcoholic Friends,The Dresden Dolls
ISFP,Always Forever,Cults
ISFP,Popular Monster,Falling In Reverse
ISFP,음,카이
ISFP,RUN2U,STAYC
ISFP,Day 1,Red Velvet
ISFP,Better,김우석
ISFP,Betcha,백현
ISFP,쉿 (Shhh),KISS OF LIFE
ISFP,영웅 (英雄; Kick It),NCT 127
ISFP,Poppy (Korean Ver.),STAYC
ISFJ,Likey,TWICE
ISFJ,Sharpener,Cavetown
ISFJ,Remember Me (Lullaby),"Gael Garcia Bernal, Gabriella Flores, Libertad García Fonzi"
ISFJ,vampire,Olivia Rodrigo
ISFJ,에잇(Prod.&Feat. SUGA of BTS),"아이유, SUGA"
ISFJ,Always Forever,Cults
ISFJ,Lose You To Love Me,Selena Gomez
ISFJ,Safe & Sound - from The Hunger Games Soundtrack,"Taylor Swift, The Civil Wars"
ISFJ,對等關係 (feat. 張惠妹),"Ronghao Li, A-Mei Chang"
ISFJ,就是愛妳,David Tao
ISFJ,你給我聽好,Eason Chan
ISFJ,單車,Eason Chan
ISFJ,K.,Cigarettes After Sex
ISFJ,like i need u,keshi
ISFJ,Always,Daniel Caesar
ISFJ,Young And Beautiful,Lana Del Rey
ISFJ,VolKno (CHOI HYUN SUK x YOSHI x HARUTO Unit),TREASURE
ISFJ,Rainbow (책갈피),NCT DREAM
ISFJ,HELLO,TREASURE
ISFJ,On My Youth (遗憾效应),WayV
ISFJ,Don’t Blame Me,Taylor Swift
ISFJ,Yours,Conan Gray
ISFJ,See You Again (feat. Charlie Puth),"Wiz Khalifa, Charlie Puth"
ISFJ,Not Around,Nova
ISFJ,Back for More (TXT Ver.),투모로우바이투게더
ISFJ,Lobby,"Anitta, Missy Elliott"
ISFJ,Guilty,태민
ISFJ,Double Take,JOSHUA
ISFJ,Home,세븐틴
ISFJ,People Pt.2 (feat. IU),"Agust D, 아이유"
ISFJ,As It Was,Harry Styles
ISFJ,Strawberries & Cigarettes,Troye Sivan
ISFJ,Pa' Mala Yo,NATTI NATASHA
ISFJ,Dale!,Max Pizzolante
ISFJ,Me Niego (feat. Ozuna & Wisin),"Reik, Ozuna, Wisin"
ISFJ,Tutu,"Camilo, Pedro Capó"
ISFJ,Shy,HUNNY
ISFJ,Televised,HUNNY
ISFJ,Pink + White,Frank Ocean
ISFJ,This Side of Paradise,Coyote Theory
ISFJ,Where'd All the Time Go?,Dr. Dog
ISFJ,Old Friend,Mitski
ISFJ,Fernando,ABBA
ISFJ,Slipping Through My Fingers,ABBA
ISFJ,Better Days,SuperM
ISFJ,gamble,"Alys, fcj, demxntia"
ISFJ,All We Know,"The Chainsmokers, Phoebe Ryan"
ISFJ,On The Ground,ROSÉ
ISFJ,Bite Me,ENHYPEN
ISFJ,恋人ごっこ,Macaroni Empitsu
ISFJ,First Love,Hikaru Utada
ISFJ,God of Music,세븐틴
ISFJ,Die For You (with Ariana Grande) - Remix,"The Weeknd, Ariana Grande"
ISFJ,Bittersweet (feat. LeeHi),"WONWOO, MINGYU, 이하이"
ISFJ,Somebody's Pleasure,Aziz Hedra
ISFJ,Lantas,Juicy Luicy
ISFJ,Bound 2,Kanye West
ISFJ,Low,SZA
ISFJ,Finesse,Drake
ISFJ,Belong to the City,PARTYNEXTDOOR
ISFJ,Keeping Tabs,NIKI
ISFJ,my tears ricochet,Taylor Swift
ISFJ,Adu Rayu,"Yovie Widianto, Tulus, Glenn Fredly"
ISFJ,Getaway Car,Taylor Swift
ISFJ,"TASTE (Lee Know, Hyunjin, Felix)",Stray Kids
ISFJ,DEPEND ON YOU,TWICE
ISFJ,HANN (Alone in winter),(여자)아이들
ISFJ,Giddy,Kep1er
ISFJ,Let Her Go,Passenger
ISFJ,Kerasnya Kota,Davisiumbing
ISFJ,Love In The Dark,Adele
ISFJ,My Universe,"Coldplay, 방탄소년단"
ISFJ,Thnks fr th Mmrs,Fall Out Boy
ISFJ,People Like Us,Kelly Clarkson
ISFJ,evergone,Christina Perri
ISFJ,marjorie,Taylor Swift
ISFJ,"Same dream, same mind, same night",세븐틴
ISFJ,ひとりじゃない,세븐틴
ISFJ,잠깐 시간 될까,이무진
ISFJ,BEAUTIFUL,세븐틴
ISFJ,Memories,Conan Gray
ISFJ,Love,Finding Hope
ISFJ,Regent's Park,Bruno Major
ISFJ,Here With Me,d4vd
ISFJ,사랑이 잘 (With 오혁),"아이유, 오혁"
ISFJ,Love Song,NCT 127
ISFJ,Super Shy,NewJeans
ISFJ,Stars and Raindrops (Seungmin),Stray Kids
ISFJ,SHYでもいいよ,AISHA
ISFJ,Love U,AYANE
ISFJ,すれ違い,Soala
ISFJ,赤い実ハジケタ恋空の下,LGMonkees
ISFJ,once in a moon,Sarah Kang
ISFJ,Somebody,디오
ISFJ,놀이공원,백현
ISFJ,Slow Dancing,V
ISFJ,coney island (feat. The National),"Taylor Swift, The National"
ISFJ,Home,Toby Fox
ISFJ,prom dress,mxmtoon
ISFJ,Reckless,Madison Beer
INFJ,Peaches,카이
INFJ,You Never Know,BLACKPINK
INFJ,WALLFLOWER,TWICE
INFJ,Eternally,투모로우바이투게더
INFJ,Heart To Heart,Mac DeMarco
INFJ,call,yutaka hirasaka
INFJ,オープニング,"天門, 熊木杏里"
INFJ,Born a Stranger,Kan Gao
INFJ,Bitter Sweet Symphony - Remastered 2016,The Verve
INFJ,House of Memories,Panic! At The Disco
INFJ,Iris,The Goo Goo Dolls
INFJ,Ghosting,Mother Mother
INFJ,Bejeweled,Taylor Swift
INFJ,hoax,Taylor Swift
INFJ,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),"Taylor Swift, Phoebe Bridgers"
INFJ,Bigger Than The Whole Sky,Taylor Swift
INFJ,Cake,Melanie Martinez
INFJ,Melting,Kali Uchis
INFJ,Cruel Summer,Taylor Swift
INFJ,Notion,The Rare Occasions
INFJ,Dusk Till Dawn (feat. Sia) - Radio Edit,"ZAYN, Sia"
INFJ,Love Me Like You Do,Ellie Goulding
INFJ,Ancient Dreams in a Modern Land,MARINA
INFJ,The Perfect Girl,Mareux
INFJ,Apocalypse,Cigarettes After Sex
INFJ,Je te laisserai des mots,Patrick Watson
INFJ,Cigarettes out the Window,TV Girl
INFJ,Swimming Pool,Marie Madeleine
INFJ,Born To Die,Lana Del Rey
INFJ,Hold My Hand,Lady Gaga
INFJ,Miss U Miss Me,Just Stef
INFJ,cardigan,Taylor Swift
INFJ,Yesterday,Imagine Dragons
INFJ,feel something,Bea Miller
INFJ,Sweet Dreams (Are Made of This) - Remastered,"Eurythmics, Annie Lennox, Dave Stewart"
INFJ,Treat People With Kindness,Harry Styles
INFJ,Angel,FINNEAS
INFJ,Bubble Gum,Clairo
INFJ,Fine Line,Harry Styles
INFJ,Hard Feelings/Loveless,Lorde
INFJ,Jacuzzi,"James Reid, B.I, DJ FLICT"
INFJ,Magnolia,Aden
INFJ,Numb,B.I
INFJ,Cloud Thought,B.I
INFJ,B.O.M.B - KABOOM ver.,TREASURE
INFJ,I LOVE YOU,TREASURE
INFJ,JIKJIN,TREASURE
INFJ,Demons,Imagine Dragons
INFJ,TO BE OR NOT TO BE,원어스
INFJ,The Bottom,Gracie Abrams
INFJ,Riverside,Agnes Obel
INFJ,A Burning Hill,Mitski
INFJ,Let Your Love Last,Cold Weather Company
INFJ,In My Dreams,"De Gast, Lova"
INFJ,All or Nothing,"Maddisun, Noah Monckton"
INFJ,I Breathe You In,Steve Mullaney
INFJ,HELLO - JP Ver.- TREASURE JAPAN TOUR 2022-23 ~HELLO~ SPECIAL in KYOCERA DOME OSAKA,TREASURE
INFJ,U - TREASURE JAPAN TOUR 2022-23 ~HELLO~ SPECIAL in KYOCERA DOME OSAKA,TREASURE
INFJ,MMM,TREASURE
INFJ,THANK YOU (ASAHI x HARUTO Unit),TREASURE
INFJ,Feeling Good,Michael Bublé
INFJ,Scars,Boy Epic
INFJ,Lucifer,XOV
INFJ,Let's Kill Tonight,Panic! At The Disco
INFJ,My Tears Are Becoming A Sea,M83
INFJ,Become the Warm Jets,Current Joys
INFJ,waves - Tame Impala Remix,"Miguel, Tame Impala"
INFJ,Strawberries & Cigarettes,Troye Sivan
INFJ,lazy sundaze,sftspkn
INFJ,Pearl,Signature D
INFJ,Lullaby,Prigida
INFJ,Street Lights,"Jam'addict, Hoffy Beats"
INFJ,Door,Mitski
INFJ,Letter To My 13 Year Old Self,Laufey
INFJ,Better Than Snow,"Norah Jones, Laufey"
INFJ,I Wish You Love,Laufey
INFJ,Dead To Me,Kali Uchis
INFJ,Chamber Of Reflection,Mac DeMarco
INFJ,Fourth of July,Sufjan Stevens
INFJ,Shades Of Cool,Lana Del Rey
INFJ,Kiss It Off Me,Cigarettes After Sex
INFJ,I Lied (with Allison Ponthier),"Lord Huron, Allison Ponthier"
INFJ,Where Damage Isn't Already Done,The Radio Dept.
INFJ,I Wish I Never Met You,Babygirl
INFJ,貴方の恋人になりたい,チョーキューメイ
INFJ,紋白蝶 - feat. 石原慎也 (Saucy Dog),"Tokyo Ska Paradise Orchestra, 石原慎也"
INFJ,燈,Soushi Sakiyama
INFJ,クランベリーとパンケーキ,Kenshi Yonezu
INFJ,I Believe,Joowon
INFJ,Stories,Chyi Yu
INFJ,SOS,Tracy Huang
INFJ,The Way I Want To Touch You,Tracy Huang
INFJ,LEAP HIGH! 〜明日へ、めいっぱい〜,PRODUCE 101 JAPAN THE GIRLS
INFJ,GUTS!,ARASHI
INFJ,小悪魔 (Baddie),CLAW-me
INFJ,B級,CHANMINA
INFJ,A Wistful Waltz,Teddy Hyde
INFJ,Blue Monday,New Order
INFJ,Nowhere To Run,Stegosaurus Rex
INFJ,Piece Of You,Shawn Mendes
INTJ,Always Forever,Cults
INTJ,Hayloft,Mother Mother
INTJ,CORALINE,Måneskin
INTJ,Antagonist,Nova Twins
INTJ,Simple Harp Variation No. 2,Martin Phipps
INTJ,Botanique,"J Foerster, N KRAMER"
INTJ,And We Walk After,Trevor Kowalski
INTJ,Etude No. 2,Philip Glass
INTJ,Chop Chop Slide,Insane Clown Posse
INTJ,Superstar,Sonic Youth
INTJ,The Silence,Secret Cameras
INTJ,Skyfall,Adele
INTJ,THAT BITCH,Bea Miller
INTJ,Without Me,Eminem
INTJ,Dark Red,Steve Lacy
INTJ,Hurt Feelings,Mac Miller
INTJ,4 Morant,Xanemusic
INTJ,The Hanging Tree,"James Newton Howard, Jennifer Lawrence"
INTJ,Money Power Glory,Lana Del Rey
INTJ,Somebody's Watching Me,Rockwell
INTJ,Kiss With A Fist,Florence + The Machine
INTJ,Maneater,Nelly Furtado
INTJ,Arabella,Arctic Monkeys
INTJ,Breathe Me,Sia
INTJ,I Don't Want To Set The World On Fire,The Ink Spots
INTJ,Desperado,Rihanna
INTJ,Greek God,Conan Gray
INTJ,Body,Mother Mother
INTJ,West Coast,Lana Del Rey
INTJ,Good Looking,Suki Waterhouse
INTJ,Are You Satisfied?,MARINA
INTJ,Come As You Are,Nirvana
INTJ,Pitch the Baby,Cocteau Twins
INTJ,Can't Be Tamed,Miley Cyrus
INTJ,Dealer,Lana Del Rey
INTJ,Be Quiet and Drive (Far Away),Deftones
INTJ,Glory And Gore,Lorde
INTJ,Mastermind,Taylor Swift
INTJ,sex money feelings die - slowed version,Lykke Li
INTJ,Self destruct,BETWEEN FRIENDS
INTJ,If Only You Were Mine,xlxa
INTJ,Cigarette Duet,Princess Chelsea
INTJ,Burning Pile,Mother Mother
INTJ,Entropy (2014 Original),Awkward Marina
INTJ,Way down We Go,KALEO
INTJ,Gone Away,Martin Sillen
INTJ,Bury Me Face Down,grandson
INTJ,Little Bastards,Palaye Royale
INTJ,The Crown Main Title,Hans Zimmer
INTJ,"Runaway (From ""Westworld"") - Piano Rendition",The Blue Notes
INTJ,Once Upon a Dream,Invadable Harmony
INTJ,I Love You,RIOPY
INTJ,Diet Mountain Dew,Lana Del Rey
INTJ,My Girlfriend Is a Witch,October Country
INTJ,(I'm Not Your) Steppin' Stone - 2006 Remaster,The Monkees
INTJ,Bubblegum Bitch,MARINA
INTJ,Beauty & Beast,Pantone
INTJ,not hard to imagine a perfect future with you,hoeless romantic
INTJ,yes it's okay that way,Naturelskere
INTJ,Sunrise Blend,"Mister Decaf, Chill Select"
INTJ,exile (feat. Bon Iver),"Taylor Swift, Bon Iver"
INTJ,Starring Role,MARINA
INTJ,Take Me To Church,Hozier
INTJ,Swimming Pool,Marie Madeleine
INTJ,Wires,The Neighbourhood
INTJ,Take A Slice,Glass Animals
INTJ,After Dark,Mr.Kitty
INTJ,Feeling Good,Michael Bublé
INTJ,Where is my Mind? - Piano Cover,The Blue Notes
INTJ,Atlantis,Clarence Öfwerman
INTJ,Panic Room,Au/Ra
INTJ,L'autre Valse D'amélie,Frédéric Schubert
INTJ,What You Wanted,CIX
INTJ,CHECKMATE,더보이즈
INTJ,NITRO,박지훈
INTJ,Jungle,CIX
INTJ,Too Many Gods,"A$AP Rocky, Joey Bada$$"
INTJ,Fake It,Seether
INTJ,Brooklyn Baby,Lana Del Rey
INTJ,Forever Young,Alphaville
INTJ,Riptide,grandson
INTJ,Sway,Michael Bublé
INTJ,Let You Down,NF
INTJ,I Wasn't Made to Fall in Love,Koko Love
INTJ,Castles,RAIZHELL
INTJ,The Perfect Girl,Mareux
INTJ,Thelema,Øfdream
INTJ,The Adults Are Talking,The Strokes
INTJ,Murky Oath - Album Edition,ŹOOĻ
INTJ,Poisonous Gangster - Album Edition,ŹOOĻ
INTJ,IMPERIAL CHAIN - Album Edition,ŹOOĻ
INTJ,STRONGER & STRONGER,ŹOOĻ
INTJ,A Wave Across A Bay,Frank Turner
INTJ,All Things End,Hozier
INTJ,Caves,CLANN
INTJ,Evil Angel,Breaking Benjamin
INTJ,Darl+ing,세븐틴
INTJ,Who Is She ?,I Monster
INTJ,Gangsta's Paradise,"Coolio, L.V."
INTJ,Midnight Rain,Taylor Swift
ENFP,The Family Jewels,MARINA
ENFP,Bubblegum Bitch,MARINA
ENFP,The Middle,"Zedd, Maren Morris, Grey"
ENFP,Don’t Blame Me,Taylor Swift
ENFP,If U Seek Amy,Britney Spears
ENFP,White Mustang,Lana Del Rey
ENFP,SSICK,Stray Kids
ENFP,Earned It (Fifty Shades Of Grey),The Weeknd
ENFP,Around the World,Red Hot Chili Peppers
ENFP,Bon voyage,유아
ENFP,Emberflame,Missing in Action
ENFP,Fine,Lemon Demon
ENFP,Dancing Queen,ABBA
ENFP,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)","A$AP Rocky, Rod Stewart, Miguel, Mark Ronson"
ENFP,Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic"
ENFP,Dead To Me,Kali Uchis
ENFP,Dance To This (feat. Ariana Grande),"Troye Sivan, Ariana Grande"
ENFP,Out of My League,Fitz and The Tantrums
ENFP,Silvertongue,Young the Giant
ENFP,Cherry Bomb,The Runaways
ENFP,Loverboy,A-Wall
ENFP,Love Grows (Where My Rosemary Goes),Edison Lighthouse
ENFP,Mamma Mia,Austin Weber
